problem_id,base_function,aob_function_id,overlap_gamma,dimension,reported_mean,reported_std,reported_time,method,source,comparison_role,runtime_dispatch_allowed
E1,elliptic,1,0,1000,2.84E6,2.35E5,7.62E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
E2,elliptic,2,1,1000,6.87E6,4.73E4,7.72E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
E3,elliptic,3,3,1000,1.60E7,5.62E5,7.87E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
E4,elliptic,4,5,1000,2.26E7,3.04E5,7.80E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
E5,elliptic,5,7,1000,7.76E6,2.13E5,7.88E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
E6,elliptic,6,10,1000,4.32E7,1.94E5,7.98E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
S1,schwefel,1,0,1000,1.92E-3,3.82E-4,9.46E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
S2,schwefel,2,1,1000,5.58E3,3.21E1,9.62E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
S3,schwefel,3,3,1000,9.72E3,4.75E1,9.69E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
S4,schwefel,4,5,1000,1.24E3,5.31E1,9.50E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
S5,schwefel,5,7,1000,9.23E3,3.95E2,9.46E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
S6,schwefel,6,10,1000,6.65E4,7.36E2,9.61E2,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
R1,rastrigin,1,0,1000,1.74E5,8.13E3,1.23E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
R2,rastrigin,2,1,1000,3.72E5,5.27E3,1.25E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
R3,rastrigin,3,3,1000,5.06E5,7.26E3,1.20E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
R4,rastrigin,4,5,1000,5.59E5,6.77E3,1.17E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
R5,rastrigin,5,7,1000,6.84E5,5.76E3,1.20E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
R6,rastrigin,6,10,1000,8.15E5,2.30E4,1.23E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
A1,ackley,1,0,1000,7.76E4,1.25E1,1.20E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
A2,ackley,2,1,1000,7.81E4,9.78E0,1.20E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
A3,ackley,3,3,1000,7.86E4,2.09E1,1.25E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
A4,ackley,4,5,1000,7.83E4,1.14E1,1.24E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
A5,ackley,5,7,1000,7.85E4,2.35E1,1.24E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
A6,ackley,6,10,1000,7.80E4,7.06E0,1.29E3,HCC-ES,Two-Phase CC Table 2,paper_reported_evaluation_only,0
